onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
117.494	4.0	smaller_sooner	discount_fixed	71	25.0	74.0	1.305	20.0	smaller_sooner	s638_2
124.377	4.0	larger_later	discount_fixed	89	65.0	137.0	1.473	20.0	larger_later	s638_2
128.952	4.0	larger_later	discount_fixed	89	49.0	140.0	2.69	20.0	larger_later	s638_2
133.727	4.0	smaller_sooner	discount_fixed	71	67.0	103.0	2.434	20.0	smaller_sooner	s638_2
140.748	4.0	larger_later	discount_fixed	89	69.0	172.0	1.573	20.0	larger_later	s638_2
145.455	4.0	smaller_sooner	discount_fixed	71	66.0	71.0	1.967	20.0	smaller_sooner	s638_2
150.641	4.0	smaller_sooner	discount_fixed	71	71.0	176.0	1.215	20.0	smaller_sooner	s638_2
155.692	4.0	smaller_sooner	discount_fixed	71	31.0	76.0	2.569	20.0	smaller_sooner	s638_2
161.012	4.0	larger_later	discount_fixed	89	43.0	19.0	1.464	20.0	larger_later	s638_2
165.583	4.0	larger_later	discount_fixed	89	60.0	124.0	1.169	20.0	larger_later	s638_2
170.223	4.0	smaller_sooner	discount_fixed	71	27.0	142.0	0.866	20.0	smaller_sooner	s638_2
175.138	4.0	smaller_sooner	discount_fixed	71	25.0	70.0	1.322	20.0	smaller_sooner	s638_2
179.643	4.0	smaller_sooner	discount_fixed	71	44.0	92.0	2.139	20.0	smaller_sooner	s638_2
184.623	4.0	smaller_sooner	discount_fixed	71	41.0	27.0	1.071	20.0	smaller_sooner	s638_2
189.534	4.0	smaller_sooner	discount_fixed	71	64.0	89.0	1.406	20.0	smaller_sooner	s638_2
194.107	4.0	larger_later	discount_fixed	89	78.0	108.0	1.781	20.0	larger_later	s638_2
198.611	4.0	larger_later	discount_fixed	89	80.0	145.0	1.13	20.0	larger_later	s638_2
204.816	4.0	smaller_sooner	discount_fixed	71	41.0	174.0	3.179	20.0	smaller_sooner	s638_2
209.526	4.0	smaller_sooner	discount_fixed	71	42.0	145.0	1.729	20.0	smaller_sooner	s638_2
214.571	4.0	larger_later	discount_fixed	89	36.0	114.0	1.796	20.0	larger_later	s638_2
219.62	4.0	smaller_sooner	discount_fixed	71	58.0	55.0	1.275	20.0	smaller_sooner	s638_2
224.805	4.0	smaller_sooner	discount_fixed	71	81.0	58.0	1.723	20.0	smaller_sooner	s638_2
229.787	4.0	larger_later	discount_fixed	89	32.0	111.0	1.398	20.0	larger_later	s638_2
234.56	4.0	larger_later	discount_fixed	89	25.0	141.0	1.376	20.0	larger_later	s638_2
239.337	4.0	smaller_sooner	discount_fixed	71	67.0	23.0	0.796	20.0	smaller_sooner	s638_2
244.52	4.0	larger_later	discount_fixed	89	77.0	161.0	0.926	20.0	larger_later	s638_2
249.706	4.0	larger_later	discount_fixed	89	55.0	163.0	0.779	20.0	larger_later	s638_2
254.957	4.0	smaller_sooner	discount_fixed	71	40.0	159.0	1.608	20.0	smaller_sooner	s638_2
259.53	4.0	larger_later	discount_fixed	89	76.0	161.0	0.714	20.0	larger_later	s638_2
264.035	4.0	larger_later	discount_fixed	89	48.0	128.0	2.067	20.0	larger_later	s638_2
268.948	4.0	smaller_sooner	discount_fixed	71	39.0	95.0	1.092	20.0	smaller_sooner	s638_2
273.521	4.0	smaller_sooner	discount_fixed	71	83.0	105.0	2.317	20.0	smaller_sooner	s638_2
279.725	4.0	smaller_sooner	discount_fixed	71	67.0	41.0	1.543	20.0	smaller_sooner	s638_2
284.638	4.0	smaller_sooner	discount_fixed	71	56.0	172.0	1.531	20.0	smaller_sooner	s638_2
289.893	4.0	smaller_sooner	discount_fixed	71	28.0	123.0	2.538	20.0	smaller_sooner	s638_2
294.941	4.0	larger_later	discount_fixed	89	50.0	129.0	1.036	20.0	larger_later	s638_2
299.583	4.0	smaller_sooner	discount_fixed	71	23.0	61.0	1.337	20.0	smaller_sooner	s638_2
304.29	4.0	smaller_sooner	discount_fixed	71	79.0	92.0	1.376	20.0	smaller_sooner	s638_2
317.436	4.0	larger_later	discount_fixed	89	61.0	141.0	2.514	20.0	larger_later	s638_2
322.01	4.0	smaller_sooner	discount_fixed	71	43.0	38.0	1.155	20.0	smaller_sooner	s638_2
326.583	4.0	larger_later	discount_fixed	89	66.0	145.0	1.059	20.0	larger_later	s638_2
331.494	4.0	smaller_sooner	discount_fixed	71	30.0	23.0	2.013	20.0	smaller_sooner	s638_2
336.339	4.0	smaller_sooner	discount_fixed	71	32.0	57.0	0.93	20.0	smaller_sooner	s638_2
341.593	4.0	smaller_sooner	discount_fixed	71	27.0	91.0	1.715	20.0	smaller_sooner	s638_2
346.37	4.0	larger_later	discount_fixed	89	43.0	120.0	1.174	20.0	larger_later	s638_2
352.372	4.0	smaller_sooner	discount_fixed	71	75.0	60.0	1.486	20.0	smaller_sooner	s638_2
357.963	4.0	larger_later	discount_fixed	89	34.0	176.0	1.004	20.0	larger_later	s638_2
362.537	4.0	smaller_sooner	discount_fixed	71	24.0	38.0	1.094	20.0	smaller_sooner	s638_2
367.653	4.0	smaller_sooner	discount_fixed	71	82.0	74.0	1.27	20.0	smaller_sooner	s638_2
373.312	4.0	smaller_sooner	discount_fixed	71	58.0	53.0	1.416	20.0	smaller_sooner	s638_2
377.886	4.0	smaller_sooner	discount_fixed	71	54.0	23.0	1.465	20.0	smaller_sooner	s638_2
382.66	4.0	smaller_sooner	discount_fixed	71	41.0	55.0	0.741	20.0	smaller_sooner	s638_2
387.707	4.0	larger_later	discount_fixed	89	77.0	142.0	0.823	20.0	larger_later	s638_2
392.55	4.0	larger_later	discount_fixed	89	25.0	108.0	1.504	20.0	larger_later	s638_2
397.736	4.0	larger_later	discount_fixed	89	33.0	163.0	1.735	20.0	larger_later	s638_2
402.786	4.0	smaller_sooner	discount_fixed	71	29.0	75.0	1.055	20.0	smaller_sooner	s638_2
407.767	4.0	larger_later	discount_fixed	89	45.0	157.0	1.433	20.0	larger_later	s638_2
412.749	4.0	smaller_sooner	discount_fixed	71	31.0	74.0	2.73	20.0	smaller_sooner	s638_2
418.068	4.0	smaller_sooner	discount_fixed	71	80.0	39.0	0.84	20.0	smaller_sooner	s638_2
422.574	4.0	smaller_sooner	discount_fixed	71	22.0	21.0	4.935	20.0	smaller_sooner	s638_2
427.623	4.0	larger_later	discount_fixed	89	52.0	139.0	1.942	20.0	larger_later	s638_2
432.33	4.0	larger_later	discount_fixed	89	54.0	126.0	0.874	20.0	larger_later	s638_2
437.173	4.0	larger_later	discount_fixed	89	23.0	176.0	1.283	20.0	larger_later	s638_2
443.922	4.0	false	discount_fixed	-1	24.0	87.0	n/a	20.0	false	s638_2
448.426	4.0	larger_later	discount_fixed	89	36.0	140.0	3.856	20.0	larger_later	s638_2
452.999	4.0	larger_later	discount_fixed	89	35.0	171.0	0.891	20.0	larger_later	s638_2
457.707	4.0	smaller_sooner	discount_fixed	71	34.0	43.0	0.803	20.0	smaller_sooner	s638_2
462.617	4.0	larger_later	discount_fixed	89	74.0	121.0	0.676	20.0	larger_later	s638_2
467.187	4.0	larger_later	discount_fixed	89	45.0	107.0	0.592	20.0	larger_later	s638_2
471.965	4.0	smaller_sooner	discount_fixed	71	77.0	24.0	0.72	20.0	smaller_sooner	s638_2
476.606	4.0	larger_later	discount_fixed	89	39.0	161.0	0.711	20.0	larger_later	s638_2
481.179	4.0	larger_later	discount_fixed	89	62.0	180.0	1.128	20.0	larger_later	s638_2
486.632	4.0	larger_later	discount_fixed	89	24.0	139.0	1.803	20.0	larger_later	s638_2
492.02	4.0	smaller_sooner	discount_fixed	71	58.0	72.0	1.041	20.0	smaller_sooner	s638_2
496.592	4.0	smaller_sooner	discount_fixed	71	56.0	93.0	0.9	20.0	smaller_sooner	s638_2
502.864	4.0	smaller_sooner	discount_fixed	71	45.0	26.0	1.075	20.0	smaller_sooner	s638_2
508.388	4.0	smaller_sooner	discount_fixed	71	23.0	42.0	1.106	20.0	smaller_sooner	s638_2
512.961	4.0	smaller_sooner	discount_fixed	71	50.0	41.0	0.67	20.0	smaller_sooner	s638_2
517.599	4.0	larger_later	discount_fixed	89	25.0	176.0	0.932	20.0	larger_later	s638_2
522.237	4.0	smaller_sooner	discount_fixed	71	54.0	22.0	0.893	20.0	smaller_sooner	s638_2
527.356	4.0	smaller_sooner	discount_fixed	71	29.0	44.0	1.04	20.0	smaller_sooner	s638_2
532.675	4.0	smaller_sooner	discount_fixed	71	24.0	89.0	1.124	20.0	smaller_sooner	s638_2
537.245	4.0	smaller_sooner	discount_fixed	71	23.0	77.0	0.814	20.0	smaller_sooner	s638_2
541.818	4.0	larger_later	discount_fixed	89	27.0	130.0	2.275	20.0	larger_later	s638_2
546.392	4.0	larger_later	discount_fixed	89	23.0	134.0	0.717	20.0	larger_later	s638_2
551.238	4.0	larger_later	discount_fixed	89	55.0	107.0	2.168	20.0	larger_later	s638_2
555.742	4.0	larger_later	discount_fixed	89	44.0	143.0	4.625	20.0	larger_later	s638_2
561.404	4.0	larger_later	discount_fixed	89	23.0	110.0	0.674	20.0	larger_later	s638_2
566.318	4.0	larger_later	discount_fixed	89	65.0	156.0	0.748	20.0	larger_later	s638_2
570.96	4.0	smaller_sooner	discount_fixed	71	22.0	27.0	1.487	20.0	smaller_sooner	s638_2
575.467	4.0	smaller_sooner	discount_fixed	71	50.0	59.0	1.29	20.0	smaller_sooner	s638_2
579.97	4.0	larger_later	discount_fixed	89	85.0	129.0	1.705	20.0	larger_later	s638_2
585.088	4.0	false	discount_fixed	-1	66.0	58.0	n/a	20.0	false	s638_2
591.225	4.0	larger_later	discount_fixed	89	49.0	172.0	2.736	20.0	larger_later	s638_2
596.071	4.0	smaller_sooner	discount_fixed	71	73.0	44.0	0.687	20.0	smaller_sooner	s638_2
600.644	4.0	smaller_sooner	discount_fixed	71	58.0	73.0	0.883	20.0	smaller_sooner	s638_2
605.354	4.0	smaller_sooner	discount_fixed	71	71.0	76.0	0.719	20.0	smaller_sooner	s638_2
